uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PNHZD000000,PH050506053,2015-01-01,S,18.7712,0.6885,0.0907,2.0355,0.5726,0.0593,1.375,0.3818,0.0356,0.0,0.0,0.0
PNHZD000001,PH050506056,2015-01-01,S,3.3062,5.8337,6.5147,0.0,0.0,0.0,0.0,0.0,0.0,10.1344,7.9272,1.9193
PNHZD000002,PH050506072,2015-01-01,S,4.4233,1.8771,0.0,3.2703,1.7898,0.0,2.4791,1.1932,0.0,0.0,0.0,0.0
PNHZD000003,PH050506020,2015-01-01,S,7.0334,68.6624,22.8292,17.2611,70.5887,5.9013,20.8956,51.5883,0.0,0.0,0.0,0.0
PNHZD000004,PH050506051,2015-01-01,S,17.2954,5.9285,0.1185,13.7895,4.5504,0.0476,9.6298,2.9822,0.0406,0.0,0.0,0.0
PNHZD000005,PH050506022,2015-01-01,S,3.0268,76.6382,18.6305,12.471,74.491,9.9184,30.5161,49.2529,0.3036,0.0,0.0,0.0
PNHZD000006,PH050506042,2015-01-01,S,16.383,8.9192,2.9073,13.1479,6.7591,2.0786,10.8763,3.9312,1.2902,0.0,0.0,0.0
PNHZD000007,PH050506012,2015-01-01,S,20.0047,7.7246,2.3287,13.3508,5.6616,1.9653,7.9876,3.7236,1.1578,0.0,0.0,0.0
PNHZD000008,PH050506003,2015-01-01,S,15.4801,0.6898,0.2387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000009,PH050506038,2015-01-01,S,5.7406,8.497,27.8612,4.6844,8.8551,23.435,3.4895,11.4092,14.3662,0.0,0.0,0.0
PNHZD00000A,PH050506007,2015-01-01,S,8.4625,27.2799,0.8198,9.869,23.796,0.3804,13.0259,17.2057,0.2092,9.3454,2.7838,0.0
PNHZD00000B,PH050506043,2015-01-01,S,3.5678,4.9732,2.7595,3.8585,4.2943,2.1618,3.3811,3.3133,1.1829,19.9748,14.0244,0.4194
PNHZD00000C,PH050506045,2015-01-01,S,33.277,4.5512,0.5828,0.0,0.0,0.0,0.0,0.0,0.0,0.1687,0.078,0.0
PNHZD00000D,PH050506001,2015-01-01,S,30.2041,5.0212,0.9839,0.0,0.0,0.0,0.0,0.0,0.0,0.0511,0.0023,0.0
PNHZD00000E,PH050506065,2015-01-01,S,2.9488,5.2586,3.8357,0.0,0.0,0.0,0.0,0.0,0.0,12.8135,12.5014,2.8234
PNHZD00000F,PH050506035,2015-01-01,S,26.9323,21.0943,0.086,24.3425,13.7607,0.0165,18.3723,3.8524,0.0165,0.0,0.0,0.0
PNHZD000010,PH050506048,2015-01-01,S,2.654,3.6327,1.0123,0.0,0.0,0.0,0.0,0.0,0.0,11.7033,29.9528,29.6364
PNHZD000011,PH050506004,2015-01-01,S,3.8499,6.3808,2.405,0.0,0.0,0.0,0.0,0.0,0.0,6.1002,3.9786,0.8471
PNHZD000012,PH050506002,2015-01-01,S,7.1144,24.5344,3.2029,0.0,0.0,0.0,0.0,0.0,0.0,7.7418,8.0641,0.9347
PNHZD000013,PH050506049,2015-01-01,S,22.0336,1.1216,0.7083,0.0,0.0,0.0,0.0,0.0,0.0,0.3899,0.0345,0.3228
PNHZD000014,PH050506062,2015-01-01,S,8.4332,4.3438,6.9139,6.8216,3.5699,4.0056,5.1811,2.6238,2.9425,0.3092,0.0847,0.1998
PNHZD000015,PH050506071,2015-01-01,S,10.1318,0.9155,0.3426,0.0,0.0,0.0,0.0,0.0,0.0,0.2439,0.1001,12.5007
PNHZD000016,PH050506017,2015-01-01,S,16.9253,36.983,15.9963,18.3927,33.4417,10.6009,18.9746,22.7773,4.2416,0.7156,0.4989,0.0
PNHZD000017,PH050506061,2015-01-01,S,8.7401,6.0987,2.0501,0.0,0.0,0.0,0.0,0.0,0.0,0.2242,0.249,67.8127
PNHZD000018,PH050506011,2015-01-01,S,18.8211,51.0647,16.9369,21.9524,48.768,8.606,25.0689,36.9772,2.6799,0.0469,0.0826,0.0
PNHZD000019,PH050506069,2015-01-01,S,13.3511,9.5975,2.8568,12.5658,7.2659,1.9595,10.9105,4.3637,1.2517,0.0045,0.0,0.0
PNHZD00001A,PH050506016,2015-01-01,S,6.1311,3.2739,13.1016,4.7916,3.4186,10.8247,3.9405,4.6159,7.2124,10.8205,4.9122,0.0
PNHZD00001B,PH050506050,2015-01-01,S,2.9443,6.1847,4.1809,0.0,0.0,0.0,0.0,0.0,0.0,8.2374,7.788,0.4888
PNHZD00001C,PH050506009,2015-01-01,S,18.8911,32.3713,4.3489,20.9225,24.4915,3.5026,17.4492,16.7789,2.3825,1.4137,2.5696,0.0
PNHZD00001D,PH050506059,2015-01-01,S,3.0818,5.1757,4.3118,0.0,0.0,0.0,0.0,0.0,0.0,11.5878,11.6513,3.8183
PNHZD00001E,PH050506026,2015-01-01,S,25.3986,22.4019,0.0,19.8668,13.2786,0.0,13.9386,1.5288,0.0,0.0,0.0,0.0
PNHZD00001F,PH050506046,2015-01-01,S,12.5797,14.3811,8.3195,9.4374,9.3974,5.7759,7.2448,6.6914,4.8509,0.4157,1.6112,33.0904
PNHZD000020,PH050506023,2015-01-01,S,6.4393,79.7683,11.8263,15.1187,71.9715,7.4889,37.0694,36.6587,0.4439,0.0,0.0,0.0
PNHZD000021,PH050506010,2015-01-01,S,10.195,21.1703,5.2881,10.3014,18.5013,3.8515,8.2345,16.0891,1.9296,9.6671,22.3073,0.0
PNHZD000022,PH050506037,2015-01-01,S,22.0018,23.3582,7.9066,18.9702,13.8307,7.2356,12.8408,4.3854,6.9321,0.0,0.0,0.0
PNHZD000023,PH050506019,2015-01-01,S,1.2921,26.3239,66.7962,3.0704,59.152,31.4218,4.4481,84.1045,1.2443,0.0,0.0,0.6897
PNHZD000024,PH050506055,2015-01-01,S,20.2066,14.3246,1.2667,17.1377,10.4889,1.1261,12.0033,6.8757,1.0707,0.0138,0.0166,0.0
PNHZD000025,PH050506018,2015-01-01,S,17.4086,45.2022,30.7435,21.2174,40.6855,19.8098,12.1996,34.1435,11.3068,0.0,0.0,0.0
PNHZD000026,PH050506025,2015-01-01,S,9.4154,48.5193,30.6976,11.5236,53.0569,19.5174,13.8716,55.3226,0.8374,0.0,0.0,0.0
PNHZD000027,PH050506073,2015-01-01,S,13.9295,66.2484,4.8627,22.1324,50.3866,2.4174,25.8299,19.2621,0.188,0.0,0.0,0.0
PNHZD000028,PH050506066,2015-01-01,S,29.0938,0.201,0.0481,0.0937,0.1342,0.0,0.0556,0.0932,0.0,0.0,0.0,0.0
PNHZD000029,PH050506021,2015-01-01,S,24.3954,58.1852,7.9209,32.1405,41.0324,2.4216,17.4839,11.4785,0.9158,0.0,0.0,0.0
PNHZD00002A,PH050506033,2015-01-01,S,7.1916,80.7013,2.1937,19.2257,65.5384,0.1381,37.6864,18.1609,0.0,0.0,0.0,0.0
PNHZD00002B,PH050506039,2015-01-01,S,9.4907,7.7651,14.4577,4.75,5.3522,13.2535,3.3927,5.2579,8.2935,0.0,0.0,0.0
PNHZD00002C,PH050506027,2015-01-01,S,11.4106,5.5617,4.3222,8.5899,3.8599,3.6828,3.7362,3.8744,2.2195,0.0,0.0,0.0
PNHZD00002D,PH050506044,2015-01-01,S,2.3515,4.7303,4.3538,0.0,0.0,0.0,0.0,0.0,0.0,6.7715,4.5406,0.5412
PNHZD00002E,PH050506015,2015-01-01,S,10.9535,27.5991,48.3154,12.3582,26.515,42.424,12.0232,29.9222,23.6977,0.0,0.0,0.0
PNHZD00002F,PH050506077,2015-01-01,S,4.3695,4.5065,0.6262,0.0,0.0,0.0,0.0,0.0,0.0,15.5517,21.5638,10.6875
PNHZD000030,PH050506030,2015-01-01,S,23.6398,45.7035,0.0,18.8998,33.4354,0.0,24.0536,7.4992,0.0,0.2549,0.0,0.0
PNHZD000031,PH050506032,2015-01-01,S,9.9431,74.962,11.0087,19.3791,66.1791,1.7691,25.7305,22.488,0.0,0.0,0.0,0.0
PNHZD000032,PH050506058,2015-01-01,S,8.1045,2.6698,2.1112,1.6666,0.5764,0.1385,1.1474,0.4416,0.0929,0.684,0.4753,20.6579
PNHZD000033,PH050506067,2015-01-01,S,13.37,40.8249,10.1249,16.5971,34.9572,3.4486,15.9041,12.1976,0.0481,0.1083,0.0202,0.0
PNHZD000034,PH050506005,2015-01-01,S,15.1336,4.8652,1.3342,12.5883,3.8812,0.938,9.9435,2.3884,0.3327,0.0,0.0,0.0
PNHZD000035,PH050506024,2015-01-01,S,6.2894,33.7365,15.9188,6.9043,35.1365,9.9891,12.8023,28.0534,0.0,2.3526,7.6379,4.538
PNHZD000036,PH050506041,2015-01-01,S,11.1245,7.239,12.8978,5.1901,6.6569,10.912,4.4677,4.4571,6.4479,0.0,0.0,0.0
PNHZD000037,PH050506052,2015-01-01,S,5.9091,23.215,9.049,7.0609,23.2467,4.8268,8.711,19.4243,0.5706,4.9885,13.3518,11.338
PNHZD000038,PH050506028,2015-01-01,S,27.8451,32.7363,0.0924,26.197,15.9841,0.0893,15.2766,1.4076,0.0,0.0,0.0,0.0
PNHZD000039,PH050506064,2015-01-01,S,28.6376,17.7798,3.1071,17.0112,10.25,2.7538,11.9796,5.4612,2.2693,0.0717,0.008,0.0
PNHZD00003A,PH050506057,2015-01-01,S,3.1458,5.1897,10.3261,0.0,0.0,0.0,0.0,0.0,0.0,5.8371,3.2216,0.1387
PNHZD00003B,PH050506013,2015-01-01,S,28.0186,30.1362,4.0855,26.7386,23.4942,3.1958,23.5572,10.2493,2.2386,0.0,0.0,0.0
PNHZD00003C,PH050506060,2015-01-01,S,6.1677,4.6259,0.0742,0.0,0.0,0.0,0.0,0.0,0.0,8.5456,8.6187,1.4838
