adm4_pcode,adm4_en,adm3_pcode,adm3_en,adm2_pcode,adm2_en,adm1_pcode,adm1_en,brgy_total_area,uuid,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PH050506053,Bgy. 45 - Dita (Bgy. 51),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.8428,PNHZD000000,1/1/2015,S,18.7712,0.6885,0.0907,2.0355,0.5726,0.0593,1.375,0.3818,0.0356,0,0,0
PH050506056,Bgy. 62 - Homapon (Bgy. 55),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,7.0818,PNHZD000001,1/1/2015,S,3.3062,5.8337,6.5147,0,0,0,0,0,0,10.1344,7.9272,1.9193
PH050506072,Bgy. 10 - Cabugao,PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0335,PNHZD000002,1/1/2015,S,4.4233,1.8771,0,3.2703,1.7898,0,2.4791,1.1932,0,0,0,0
PH050506020,Bgy. 23 - Imperial Court Subd. (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0621,PNHZD000003,1/1/2015,S,7.0334,68.6624,22.8292,17.2611,70.5887,5.9013,20.8956,51.5883,0,0,0,0
PH050506051,Bgy. 40 - Cruzada (Bgy. 52),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,1.4442,PNHZD000004,1/1/2015,S,17.2954,5.9285,0.1185,13.7895,4.5504,0.0476,9.6298,2.9822,0.0406,0,0,0
PH050506022,Bgy. 25 - Lapu-lapu (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0607,PNHZD000005,1/1/2015,S,3.0268,76.6382,18.6305,12.471,74.491,9.9184,30.5161,49.2529,0.3036,0,0,0
PH050506042,Bgy. 8 - Bagumbayan (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.3669,PNHZD000006,1/1/2015,S,16.383,8.9192,2.9073,13.1479,6.7591,2.0786,10.8763,3.9312,1.2902,0,0,0
PH050506012,Bgy. 16 - Kawit-East Washington Drive (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.487,PNHZD000007,1/1/2015,S,20.0047,7.7246,2.3287,13.3508,5.6616,1.9653,7.9876,3.7236,1.1578,0,0,0
PH050506003,Bgy. 48 - Bagong Abre (Bgy. 42),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,1.267,PNHZD000008,1/1/2015,S,15.4801,0.6898,0.2387,0,0,0,0,0,0,0,0,0
PH050506038,Bgy. 4 - Sagpon Pob. (Sagpon 1),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.1126,PNHZD000009,1/1/2015,S,5.7406,8.497,27.8612,4.6844,8.8551,23.435,3.4895,11.4092,14.3662,0,0,0
PH050506007,Bgy. 11 - Maoyod Pob. (Bgy. 10 & 11),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.1751,PNHZD00000A,1/1/2015,S,8.4625,27.2799,0.8198,9.869,23.796,0.3804,13.0259,17.2057,0.2092,9.3454,2.7838,0
PH050506043,Bgy. 9 - Pinaric (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.2623,PNHZD00000B,1/1/2015,S,3.5678,4.9732,2.7595,3.8585,4.2943,2.1618,3.3811,3.3133,1.1829,19.9748,14.0244,0.4194
PH050506045,Bgy. 49 - Bigaa (Bgy. 44),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,2.0332,PNHZD00000C,1/1/2015,S,33.277,4.5512,0.5828,0,0,0,0,0,0,0.1687,0.078,0
PH050506001,Bgy. 47 - Arimbay,PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,1.076,PNHZD00000D,1/1/2015,S,30.2041,5.0212,0.9839,0,0,0,0,0,0,0.0511,0.0023,0
PH050506065,Bgy. 68 - San Francisco (Bgy. 62),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,6.3914,PNHZD00000E,1/1/2015,S,2.9488,5.2586,3.8357,0,0,0,0,0,0,12.8135,12.5014,2.8234
PH050506035,Bgy. 37 - Bitano (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.6045,PNHZD00000F,1/1/2015,S,26.9323,21.0943,0.086,24.3425,13.7607,0.0165,18.3723,3.8524,0.0165,0,0,0
PH050506048,Bgy. 69 - Buenavista (Bgy.47),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,13.2367,PNHZD000010,1/1/2015,S,2.654,3.6327,1.0123,0,0,0,0,0,0,11.7033,29.9528,29.6364
PH050506004,Bgy. 66 - Banquerohan (Bgy. 43),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,14.9492,PNHZD000011,1/1/2015,S,3.8499,6.3808,2.405,0,0,0,0,0,0,6.1002,3.9786,0.8471
PH050506002,Bgy. 64 - Bagacay (Bgy. 41 Bagacay),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,3.774,PNHZD000012,1/1/2015,S,7.1144,24.5344,3.2029,0,0,0,0,0,0,7.7418,8.0641,0.9347
PH050506049,Bgy. 51 - Buyuan (Bgy. 49),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,3.9655,PNHZD000013,1/1/2015,S,22.0336,1.1216,0.7083,0,0,0,0,0,0,0.3899,0.0345,0.3228
PH050506062,Bgy. 44 - Pawa (Bgy. 61),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,2.7096,PNHZD000014,1/1/2015,S,8.4332,4.3438,6.9139,6.8216,3.5699,4.0056,5.1811,2.6238,2.9425,0.3092,0.0847,0.1998
PH050506071,Bgy. 52 - Matanag,PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,2.0787,PNHZD000015,1/1/2015,S,10.1318,0.9155,0.3426,0,0,0,0,0,0,0.2439,0.1001,12.5007
PH050506017,Bgy. 18 - Cabagñan West (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.4889,PNHZD000016,1/1/2015,S,16.9253,36.983,15.9963,18.3927,33.4417,10.6009,18.9746,22.7773,4.2416,0.7156,0.4989,0
PH050506061,Bgy. 50 - Padang (Bgy. 60),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,11.3811,PNHZD000017,1/1/2015,S,8.7401,6.0987,2.0501,0,0,0,0,0,0,0.2242,0.249,67.8127
PH050506011,Bgy. 15 - Ilawod East Pob. (Ilawod 3),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.2601,PNHZD000018,1/1/2015,S,18.8211,51.0647,16.9369,21.9524,48.768,8.606,25.0689,36.9772,2.6799,0.0469,0.0826,0
PH050506069,Bgy. 43 - Tamaoyan (Bgy. 67),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,1.1053,PNHZD000019,1/1/2015,S,13.3511,9.5975,2.8568,12.5658,7.2659,1.9595,10.9105,4.3637,1.2517,0.0045,0,0
